School,Area,Date,Staff Count,Student Count,DateTime,Staff Close Contacts,Student Close Contacts
Sangaree Middle,,2/9/2022,0,1,2022-02-09 05:30:05,0,0
Sedgefield Middle,,2/9/2022,1,2,2022-02-09 05:30:05,0,15
St Stephen Elementary,,2/9/2022,0,6,2022-02-09 05:30:05,0,11
St Stephen Middle,,2/9/2022,0,1,2022-02-09 05:30:05,0,6
Stratford High,,2/9/2022,0,13,2022-02-09 05:30:05,0,27
Timberland High,,2/9/2022,3,2,2022-02-09 05:30:05,0,5
Westview Elementary,,2/9/2022,0,3,2022-02-09 05:30:05,0,2
Westview Middle,,2/9/2022,0,7,2022-02-09 05:30:05,0,21
Westview Primary,,2/9/2022,1,2,2022-02-09 05:30:05,0,14
Whitesville Elementary,,2/9/2022,0,6,2022-02-09 05:30:05,0,39
Berkeley County School District,,2/10/2022,22,150,2022-02-10 05:46:02,7,537
Central Offices,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Maintenance,,2/10/2022,1,0,2022-02-10 05:46:02,0,0
Technology,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Transportation,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Child Nutrition,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Adult Education,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Berkeley Alternative,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Berkeley Elementary,,2/10/2022,1,2,2022-02-10 05:46:02,0,17
Berkeley High School,,2/10/2022,0,9,2022-02-10 05:46:02,0,26
Berkeley Intermediate,,2/10/2022,0,0,2022-02-10 05:46:02,0,4
Berkeley Middle,,2/10/2022,0,2,2022-02-10 05:46:02,0,10
Berkeley Middle College,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Bonner Elementary,,2/10/2022,3,11,2022-02-10 05:46:02,2,12
Boulder Bluff Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,1,3
Bowens Corner Elementary,,2/10/2022,0,1,2022-02-10 05:46:02,0,10
Cainhoy Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Cane Bay Elementary,,2/10/2022,0,10,2022-02-10 05:46:02,0,57
Cane Bay High,,2/10/2022,3,12,2022-02-10 05:46:02,0,61
Cane Bay Middle,,2/10/2022,2,8,2022-02-10 05:46:02,0,24
College Park Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,8
College Park Middle,,2/10/2022,0,1,2022-02-10 05:46:02,0,4
Cross Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Cross High,,2/10/2022,0,0,2022-02-10 05:46:02,0,1
Daniel Island School,,2/10/2022,0,2,2022-02-10 05:46:02,0,2
Devon Forest Elementary,,2/10/2022,1,2,2022-02-10 05:46:02,1,10
Fishburne Campus,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Foxbank Elementary,,2/10/2022,1,9,2022-02-10 05:46:02,0,24
Goose Creek Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,3
Goose Creek High,,2/10/2022,1,3,2022-02-10 05:46:02,0,3
Hanahan Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,4
Hanahan High,,2/10/2022,0,0,2022-02-10 05:46:02,0,1
Hanahan Middle,,2/10/2022,0,6,2022-02-10 05:46:02,0,8
Howe Hall Aims,,2/10/2022,0,1,2022-02-10 05:46:02,0,5
Jk Goudin Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Macedonia Middle,,2/10/2022,1,4,2022-02-10 05:46:02,0,16
Marrington Elementary,,2/10/2022,0,2,2022-02-10 05:46:02,1,15
Marrington Middle,,2/10/2022,0,3,2022-02-10 05:46:02,0,2
Mt Holly Elementary,,2/10/2022,2,1,2022-02-10 05:46:02,1,3
Nexton Elementary,,2/10/2022,1,5,2022-02-10 05:46:02,0,13
Philip Simmons Elementary,,2/10/2022,0,6,2022-02-10 05:46:02,1,27
Philip Simmons High,,2/10/2022,0,1,2022-02-10 05:46:02,0,4
Philip Simmons Middle,,2/10/2022,0,2,2022-02-10 05:46:02,0,9
Sangaree Elementary,,2/10/2022,1,0,2022-02-10 05:46:02,0,18
Sangaree Intermediate,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Sangaree Middle,,2/10/2022,0,1,2022-02-10 05:46:02,0,0
Sedgefield Middle,,2/10/2022,0,2,2022-02-10 05:46:02,0,15
St Stephen Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,8
St Stephen Middle,,2/10/2022,0,1,2022-02-10 05:46:02,0,5
Stratford High,,2/10/2022,0,12,2022-02-10 05:46:02,0,27
Timberland High,,2/10/2022,2,2,2022-02-10 05:46:02,0,4
Westview Elementary,,2/10/2022,0,4,2022-02-10 05:46:02,0,8
Westview Middle,,2/10/2022,1,5,2022-02-10 05:46:02,0,15
Westview Primary,,2/10/2022,1,2,2022-02-10 05:46:02,0,13
Whitesville Elementary,,2/10/2022,0,6,2022-02-10 05:46:02,0,38
Berkeley County School District,,2/10/2022,22,150,2022-02-10 05:46:02,7,537
Central Offices,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Maintenance,,2/10/2022,1,0,2022-02-10 05:46:02,0,0
Technology,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Transportation,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Child Nutrition,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Adult Education,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Berkeley Alternative,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Berkeley Alternative,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Berkeley High School,,2/10/2022,0,9,2022-02-10 05:46:02,0,26
Berkeley Intermediate,,2/10/2022,0,0,2022-02-10 05:46:02,0,4
Berkeley Middle,,2/10/2022,0,2,2022-02-10 05:46:02,0,10
Berkeley Middle College,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Bonner Elementary,,2/10/2022,3,11,2022-02-10 05:46:02,2,12
Boulder Bluff Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,1,3
Bowens Corner Elementary,,2/10/2022,0,1,2022-02-10 05:46:02,0,10
Cainhoy Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Cane Bay Elementary,,2/10/2022,0,10,2022-02-10 05:46:02,0,57
Cane Bay High,,2/10/2022,3,12,2022-02-10 05:46:02,0,61
Cane Bay Middle,,2/10/2022,2,8,2022-02-10 05:46:02,0,24
College Park Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,8
College Park Middle,,2/10/2022,0,1,2022-02-10 05:46:02,0,4
Cross Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Cross High,,2/10/2022,0,0,2022-02-10 05:46:02,0,1
Daniel Island School,,2/10/2022,0,2,2022-02-10 05:46:02,0,2
Devon Forest Elementary,,2/10/2022,1,2,2022-02-10 05:46:02,1,10
Fishburne Campus,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Foxbank Elementary,,2/10/2022,1,9,2022-02-10 05:46:02,0,24
Goose Creek Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,3
Goose Creek High,,2/10/2022,1,3,2022-02-10 05:46:02,0,3
Hanahan Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,4
Hanahan High,,2/10/2022,0,0,2022-02-10 05:46:02,0,1
Hanahan Middle,,2/10/2022,0,6,2022-02-10 05:46:02,0,8
Howe Hall Aims,,2/10/2022,0,1,2022-02-10 05:46:02,0,5
Jk Goudin Elementary,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Macedonia Middle,,2/10/2022,1,4,2022-02-10 05:46:02,0,16
Marrington Elementary,,2/10/2022,0,2,2022-02-10 05:46:02,1,15
Marrington Middle,,2/10/2022,0,3,2022-02-10 05:46:02,0,2
Mt Holly Elementary,,2/10/2022,2,1,2022-02-10 05:46:02,1,3
Nexton Elementary,,2/10/2022,1,5,2022-02-10 05:46:02,0,13
Philip Simmons Elementary,,2/10/2022,0,6,2022-02-10 05:46:02,1,27
Philip Simmons High,,2/10/2022,0,1,2022-02-10 05:46:02,0,4
Philip Simmons Middle,,2/10/2022,0,2,2022-02-10 05:46:02,0,9
Sangaree Elementary,,2/10/2022,1,0,2022-02-10 05:46:02,0,18
Sangaree Intermediate,,2/10/2022,0,0,2022-02-10 05:46:02,0,0
Sangaree Middle,,2/10/2022,0,1,2022-02-10 05:46:02,0,0
Sedgefield Middle,,2/10/2022,0,2,2022-02-10 05:46:02,0,15
St Stephen Elementary,,2/10/2022,0,3,2022-02-10 05:46:02,0,8
St Stephen Middle,,2/10/2022,0,1,2022-02-10 05:46:02,0,5
Stratford High,,2/10/2022,0,12,2022-02-10 05:46:02,0,27
Timberland High,,2/10/2022,2,2,2022-02-10 05:46:02,0,4
Westview Elementary,,2/10/2022,0,4,2022-02-10 05:46:02,0,8
Westview Middle,,2/10/2022,1,5,2022-02-10 05:46:02,0,15
Westview Primary,,2/10/2022,1,2,2022-02-10 05:46:02,0,13
Whitesville Elementary,,2/10/2022,0,6,2022-02-10 05:46:02,0,38
Berkeley County School District,,2/13/2022,14,97,2022-02-13 10:56:45,6,340
Central Offices,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Maintenance,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Technology,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Transportation,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Child Nutrition,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Adult Education,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Berkeley Alternative,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Berkeley Elementary,,2/13/2022,0,1,2022-02-13 10:56:45,0,8
Berkeley High School,,2/13/2022,0,8,2022-02-13 10:56:45,0,19
Berkeley Intermediate,,2/13/2022,0,0,2022-02-13 10:56:45,0,4
Berkeley Middle,,2/13/2022,0,0,2022-02-13 10:56:45,0,11
Berkeley Middle College,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Bonner Elementary,,2/13/2022,2,9,2022-02-13 10:56:45,1,11
Boulder Bluff Elementary,,2/13/2022,0,0,2022-02-13 10:56:45,1,1
Bowens Corner Elementary,,2/13/2022,0,1,2022-02-13 10:56:45,0,4
Cainhoy Elementary,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Cane Bay Elementary,,2/13/2022,0,5,2022-02-13 10:56:45,0,22
Cane Bay High,,2/13/2022,2,5,2022-02-13 10:56:45,0,29
Cane Bay Middle,,2/13/2022,1,5,2022-02-13 10:56:45,0,30
College Park Elementary,,2/13/2022,1,2,2022-02-13 10:56:45,0,7
College Park Middle,,2/13/2022,0,1,2022-02-13 10:56:45,0,2
Cross Elementary,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Cross High,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Daniel Island School,,2/13/2022,0,2,2022-02-13 10:56:45,0,2
Devon Forest Elementary,,2/13/2022,0,1,2022-02-13 10:56:45,0,7
Fishburne Campus,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Foxbank Elementary,,2/13/2022,0,4,2022-02-13 10:56:45,0,15
Goose Creek Elementary,,2/13/2022,1,3,2022-02-13 10:56:45,1,2
Goose Creek High,,2/13/2022,0,4,2022-02-13 10:56:45,0,5
Hanahan Elementary,,2/13/2022,1,4,2022-02-13 10:56:45,0,2
Hanahan High,,2/13/2022,0,1,2022-02-13 10:56:45,0,1
Hanahan Middle,,2/13/2022,0,2,2022-02-13 10:56:45,0,1
Howe Hall Aims,,2/13/2022,0,0,2022-02-13 10:56:45,0,3
Jk Goudin Elementary,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Macedonia Middle,,2/13/2022,1,2,2022-02-13 10:56:45,0,8
Marrington Elementary,,2/13/2022,0,1,2022-02-13 10:56:45,0,11
Marrington Middle,,2/13/2022,0,1,2022-02-13 10:56:45,0,3
Mt Holly Elementary,,2/13/2022,0,0,2022-02-13 10:56:45,1,1
Nexton Elementary,,2/13/2022,1,4,2022-02-13 10:56:45,0,5
Philip Simmons Elementary,,2/13/2022,0,4,2022-02-13 10:56:45,1,19
Philip Simmons High,,2/13/2022,0,0,2022-02-13 10:56:45,0,2
Philip Simmons Middle,,2/13/2022,0,1,2022-02-13 10:56:45,0,5
